name,model_type,hidden_dims,parameters,n_layers,max_width,val_loss,mse,pos_mean_mm,pos_90_mm,slope_mean_mrad,slope_90_mrad,time_us,speedup_vs_cpp,version
mlp_v2_shallow_1024_256,mlp,"[1024, 256]",0,2,1024,0.0003587768908320284,0.0003591241,0.030833002,0.05954224,0.6783672,1.3761152,3.5611083314288408,0.7020286291029267,V2
mlp_v2_shallow_1024_512,mlp,"[1024, 512]",0,2,1024,0.0004274953446223716,0.00042736644,0.0341644,0.06347747,0.7825514,1.5006914,4.705243111704476,0.5313221741467836,V2
mlp_v2_shallow_256,mlp,"[256, 256]",0,2,256,0.0008608967345131716,0.0008623045,0.04433142,0.08680664,0.26299858,0.48689497,1.4957071981625631,1.671450136143748,V2
mlp_v2_shallow_512,mlp,"[512, 512]",0,2,512,0.000319869988201622,0.00032033148,0.029449724,0.05314682,0.33326373,0.6708307,2.5753888834733516,0.9707271845595308,V2
mlp_v2_shallow_512_256,mlp,"[512, 256]",0,2,512,0.000290649183543777,0.00029116045,0.028094945,0.051274568,0.4159489,0.76726604,1.9316805442795155,1.2942098564918032,V2
mlp_v2_single_1024,mlp,[1024],0,1,1024,0.002950022439129419,0.0029532632,0.061997183,0.1492959,0.026103767,0.047502924,1.8604545129928738,1.3437576584327788,V2
mlp_v2_single_256,mlp,[256],0,1,256,0.002226629110019648,0.0022538318,0.065244384,0.13544194,0.016706347,0.034516722,0.8322072948794811,3.004059223443897,V2
mlp_v2_single_512,mlp,[512],0,1,512,0.002643163186770829,0.002631584,0.06802057,0.13874736,0.012695983,0.027691288,1.0259385821409523,2.4367930434811624,V2
pinn_v2_shallow_1024_256,pinn,"[1024, 256]",0,2,1024,0.0036158110076064663,180021.19,829.809,1025.0181,311.1045,451.0804,3.9212891522329296,0.6375454354281438,V2
pinn_v2_shallow_1024_512,pinn,"[1024, 512]",0,2,1024,0.00391666212465169,270835.06,1025.3826,1196.6814,295.55124,415.24847,4.839869262767024,0.516542878385668,V2
pinn_v2_shallow_256,pinn,"[256, 256]",0,2,256,0.002859698251840916,650911.1,1567.4315,1886.8551,475.02747,949.60693,1.6729796584695578,1.4943397472549071,V2
pinn_v2_shallow_512,pinn,"[512, 512]",0,2,512,0.001791076592715387,505989.12,1395.8413,1608.4966,306.34344,565.2259,2.9742097854614253,0.8405594024404518,V2
pinn_v2_shallow_512_256,pinn,"[512, 256]",0,2,512,0.0018295182817144573,432124.53,1296.7241,1459.3873,317.92743,458.1624,2.168195293052122,1.153032666389015,V2
pinn_v2_single_1024,pinn,[1024],0,1,1024,,205666.95,847.6931,1252.7684,108.69809,157.71214,1.8093420654768124,1.3817177236418143,V2
pinn_v2_single_256,pinn,[256],0,1,256,0.06936192934427246,125878.45,664.45825,975.05585,98.88201,141.12874,0.9587829379597678,2.6074723496017245,V2
pinn_v2_single_512,pinn,[512],0,1,512,0.025692552160441192,173560.94,779.8514,1146.9103,105.96953,152.9458,1.1579523293767124,2.158983523393979,V2
rkpinn_v2_shallow_1024_256,rk_pinn,"[1024, 256]",0,2,1024,,1067396.2,1996.2164,2510.609,124.43876,229.29156,12.975391425308771,0.19267241488558856,V2
rkpinn_v2_shallow_256,rk_pinn,"[256, 256]",0,2,256,0.0018510004130049466,1051838.0,1968.4001,2589.4072,291.876,434.1936,5.636245621019044,0.4435576743988661,V2
rkpinn_v2_shallow_512,rk_pinn,"[512, 512]",0,2,512,,1244412.8,2140.261,2818.6292,141.96289,230.07314,9.971831509843469,0.2507062015169612,V2
rkpinn_v2_shallow_512_256,rk_pinn,"[512, 256]",0,2,512,0.0018524209800749151,1102409.6,2024.4825,2581.6223,92.4511,151.30681,7.127234417013823,0.3507671915535862,V2
rkpinn_v2_single_256,rk_pinn,[256],0,1,256,0.0039062457665248814,188497.81,816.171,1180.6158,100.91345,146.17024,3.5705568281700835,0.7001709033941506,V2
rkpinn_v2_single_512,rk_pinn,[512],0,1,512,0.004282743931670935,210137.75,859.85394,1254.1208,110.22176,164.17854,4.390163473202846,0.5694548768536228,V2
