name,model_type,size,category,n_params,lambda_pde,best_val_loss,epochs_trained,training_time_hrs
mlp_large_v1,MLP,medium,core,398596,1.0,0.00044472183475465974,10,0.0
mlp_medium,MLP,medium,core,100996,1.0,0.0005831315729330027,10,0.0
rkpinn_medium_data_only,RK_PINN,medium,ablation_data_only,100996,0.0,0.0006711970146914774,10,0.0
mlp_wide,MLP,wide,core,430980,1.0,0.0009505928795419353,10,0.0
mlp_medium_v1,MLP,medium,core,100996,1.0,0.001015350185719558,10,0.0
mlp_wide_v1,MLP,wide,core,430980,1.0,0.0011718527045414926,10,0.0
rkpinn_medium_pde_weak,RK_PINN,medium,ablation_weak,100996,0.01,0.0013065425445303552,10,0.0
mlp_small,MLP,small,core,17924,1.0,0.0013388820813646895,10,0.0
mlp_balanced_v1,MLP,medium,core,57316,1.0,0.002088070759449136,10,0.0
mlp_wide_shallow_v1,MLP,wide,core,35204,1.0,0.002214485849520579,10,0.0
rkpinn_wide,RK_PINN,wide,core,430980,1.0,0.002505046296613039,10,0.0
rkpinn_medium_pde_dominant,RK_PINN,medium,ablation_dominant,100996,1.0,0.0027926720842417025,10,0.0
pinn_small,PINN,small,core,17924,1.0,0.002995782237565549,10,0.0
mlp_small_v1,MLP,small,core,17924,1.0,0.003022658637512945,10,0.0
mlp_tiny,MLP,tiny,core,4868,1.0,0.003085827450157371,10,0.0
rkpinn_coll5_v1,RK_PINN,medium,core,100996,0.001,0.0035359368582580804,10,0.0
pinn_medium_mid_p,PINN,medium,momentum_mid,100996,1.0,0.0035503418184816837,10,0.0
pinn_tiny,PINN,tiny,core,4868,1.0,0.00362175864466511,10,0.0
rkpinn_small,RK_PINN,small,core,17924,1.0,0.003725754757839683,10,0.0
rkpinn_medium,RK_PINN,medium,core,100996,1.0,0.0039059012770930415,10,0.0
mlp_medium_mid_p,MLP,medium,momentum_mid,100996,1.0,0.003958804614613859,10,0.0
mlp_medium_low_p,MLP,medium,momentum_low,100996,1.0,0.004077335114457778,10,0.0
rkpinn_wide_v1,RK_PINN,wide,core,430980,0.001,0.0042112810810061505,10,0.0
pinn_wide,PINN,wide,core,430980,1.0,0.004235843167526619,10,0.0
mlp_medium_high_p,MLP,medium,momentum_high,100996,1.0,0.004360630640722051,10,0.0
rkpinn_coll20_v1,RK_PINN,medium,core,100996,0.001,0.004687647840523339,10,0.0
rkpinn_strong_v1,RK_PINN,medium,core,100996,0.01,0.004857367678178069,10,0.0
rkpinn_tiny,RK_PINN,tiny,core,4868,1.0,0.0049111045108319405,10,0.0
rkpinn_coll10_v1,RK_PINN,medium,core,100996,0.001,0.005099575332504638,10,0.0
rkpinn_balanced_v1,RK_PINN,medium,core,57316,0.005,0.005175495011131424,10,0.0
rkpinn_medium_pde_strong,RK_PINN,medium,ablation_strong,100996,10.0,0.005872365909519496,10,0.0
rkpinn_large_v1,RK_PINN,medium,core,398596,0.001,0.006501177327369025,10,0.0
pinn_medium,PINN,medium,core,100996,1.0,0.006981897578223087,10,0.0
pinn_medium_low_p,PINN,medium,momentum_low,100996,1.0,0.007391045999009999,10,0.0
pinn_medium_pde_dominant,PINN,medium,ablation_dominant,100996,1.0,0.007461020907190347,10,0.0
pinn_medium_high_p,PINN,medium,momentum_high,100996,1.0,0.00876415212239538,10,0.0
mlp_narrow_deep_v1,MLP,medium,core,15140,1.0,0.010935315106265284,10,0.0
rkpinn_medium_mid_p,RK_PINN,medium,momentum_mid,100996,1.0,0.011380170114642504,10,0.0
rkpinn_medium_low_p,RK_PINN,medium,momentum_low,100996,1.0,0.011781585570044663,10,0.0
pinn_medium_pde_weak,PINN,medium,ablation_weak,100996,0.01,0.013563260555810416,10,0.0
rkpinn_medium_high_p,RK_PINN,medium,momentum_high,100996,1.0,0.014871720239824178,10,0.0
pinn_medium_data_only,PINN,medium,ablation_data_only,100996,0.0,0.015497931228137524,10,0.0
pinn_medium_pde_strong,PINN,medium,ablation_strong,100996,10.0,0.05504580827568712,10,0.0
